nombre,descripcion,precio,stock
Portátil Basic 14p,Ordenador portátil de 14 pulgadas con 8GB RAM y 256GB SSD,499.99,25
Ratón Inalámbrico,Mouse ergonómico con conexión Bluetooth y batería recargable,19.95,120
Teclado Mecánico RGB,Teclado retroiluminado con switches azules,59.90,60
Monitor 24p Full HD,Pantalla LED de 24 pulgadas con resolución 1920x1080,129.00,40
Auriculares Gaming,Headset con micrófono y sonido envolvente 7.1,45.50,75
Impresora Multifunción,Equipo 3 en 1: impresión, escaneo y copia,89.99,30
Disco Duro Externo 1TB,Unidad portátil con conexión USB 3.0,59.00,80
Smartwatch Fit,Monitor de actividad con pulsómetro y GPS integrado,99.99,50
Altavoz Bluetooth,Altavoz portátil resistente al agua con 12h de autonomía,35.00,100
Silla Ergonómica,Asiento de oficina con soporte lumbar ajustable,149.00,15
